Testing filter: 0 without noise
Time,Roll Error,Pitch Error,Yaw Error
5.090,-2.086,40.390,192.038
5.100,-1.709,40.399,192.035
5.110,-1.347,40.405,192.031
5.120,-0.970,40.411,192.027
5.130,-0.593,40.416,192.023
5.140,-0.216,40.418,192.018
5.150,0.160,40.420,192.014
5.160,0.521,40.419,192.009
5.170,0.883,40.416,192.004
5.180,1.245,40.412,192.000
5.190,1.607,40.406,191.995
5.200,1.969,40.399,191.990
5.210,2.331,40.390,191.985
5.220,2.693,40.380,191.979
5.230,3.056,40.368,191.974
5.240,3.418,40.355,191.968
5.250,3.780,40.341,191.962
5.260,4.142,40.325,191.956
5.270,4.504,40.307,191.950
5.280,4.866,40.288,191.944
5.290,5.228,40.268,191.937
5.300,5.590,40.246,191.930
5.310,5.952,40.222,191.922
5.320,6.313,40.197,191.914
5.330,6.674,40.171,191.906
5.340,7.035,40.143,191.898
5.350,7.396,40.113,191.889
5.360,7.756,40.082,191.880
5.370,8.116,40.050,191.871
5.380,8.476,40.016,191.861
5.390,8.835,39.981,191.851
5.400,9.193,39.944,191.840
5.410,9.552,39.905,191.829
5.420,9.910,39.865,191.817
5.430,10.268,39.824,191.805
5.440,10.625,39.781,191.793
5.450,10.981,39.737,191.780
5.460,11.337,39.691,191.767
5.470,11.693,39.644,191.753
5.480,12.048,39.595,191.739
5.490,12.402,39.545,191.724
5.500,12.756,39.493,191.709
5.510,13.109,39.440,191.694
5.520,13.462,39.385,191.677
5.530,13.815,39.329,191.661
5.540,14.166,39.271,191.644
5.550,14.517,39.212,191.626
5.560,14.867,39.152,191.608
5.570,15.217,39.089,191.589
5.580,15.565,39.026,191.570
5.590,15.913,38.961,191.550
5.600,16.261,38.894,191.530
5.610,16.608,38.826,191.509
5.620,16.953,38.757,191.487
5.630,17.298,38.686,191.465
5.640,17.642,38.613,191.443
5.650,17.986,38.539,191.420
5.660,18.329,38.464,191.396
5.670,18.671,38.387,191.372
5.680,19.012,38.309,191.347
5.690,19.352,38.229,191.322
5.700,19.691,38.148,191.296
5.710,20.030,38.065,191.269
5.720,20.367,37.981,191.242
5.730,20.704,37.895,191.214
5.740,21.039,37.808,191.186
5.750,21.374,37.720,191.157
5.760,21.708,37.630,191.128
5.770,22.041,37.538,191.098
5.780,22.373,37.445,191.067
5.790,22.703,37.351,191.036
5.800,23.034,37.255,191.004
5.810,23.363,37.158,190.972
5.820,23.691,37.059,190.939
5.830,24.018,36.959,190.906
5.840,24.344,36.858,190.872
5.850,24.669,36.755,190.837
5.860,24.993,36.650,190.802
5.870,25.315,36.545,190.766
5.880,25.637,36.438,190.730
5.890,25.958,36.329,190.693
5.900,26.278,36.219,190.655
5.910,26.596,36.107,190.617
5.920,26.913,35.994,190.578
5.930,27.230,35.880,190.539
5.940,27.545,35.764,190.499
5.950,27.859,35.647,190.459
5.960,28.172,35.529,190.418
5.970,28.483,35.409,190.376
5.980,28.795,35.288,190.334
5.990,29.104,35.165,190.292
6.000,29.412,35.041,190.249
6.010,29.744,34.907,190.198
6.020,30.049,34.781,190.153
6.030,30.352,34.653,190.108
6.040,30.655,34.524,190.062
6.050,30.957,34.393,190.016
6.060,31.256,34.262,189.969
6.070,31.555,34.128,189.922
